datetime_rounded,water_soil,soil_temp_moisture,conduct_soil,leaf_moisture,leaf_temperature,ph1_soil,soil_temp_ph,soilnitrogen,soilphosphorous,soilpottasium,hour_of_day,is_daylight,day_of_week,day_of_period,moisture_rolling_mean,moisture_rolling_std,moisture_rate_of_change,temp_rolling_max,stress_level
2024-10-30 09:45:00,13.09,27.41,447.0,1.9,34.9,4.29,28.2,5,14,7,9,1,2,0,13.09,0.0,0.0,27.41,Moderately Stressed
2024-10-30 10:00:00,12.77,27.87,448.0,1.9,34.9,4.29,28.2,5,14,7,10,1,2,0,12.93,0.23,0.0,27.87,Severely Stressed
2024-10-30 10:15:00,12.77,27.87,448.0,1.8,40.6,4.29,28.2,5,14,7,10,1,2,0,12.88,0.18,0.0,27.87,Severely Stressed
2024-10-30 10:30:00,12.59,28.48,447.0,1.7,41.3,4.23,28.8,5,14,7,10,1,2,0,12.8,0.21,0.0,28.48,Severely Stressed
2024-10-30 10:45:00,11.88,29.36,450.0,1.7,41.3,4.23,28.8,5,15,7,10,1,2,0,12.62,0.45,-1.21,29.36,Severely Stressed
2024-10-30 11:00:00,11.94,29.76,448.0,1.2,42.9,4.16,29.3,5,14,7,11,1,2,0,12.51,0.49,-0.83,29.76,Severely Stressed
2024-10-30 11:15:00,11.94,29.76,448.0,1.3,44.9,4.14,29.5,4,12,6,11,1,2,0,12.43,0.5,-0.83,29.76,Severely Stressed
2024-10-30 11:30:00,12.87,29.65,445.0,1.3,39.8,4.22,29.1,4,12,6,11,1,2,0,12.48,0.49,0.28,29.76,Severely Stressed
2024-10-30 11:45:00,13.11,29.32,442.0,1.3,39.8,4.22,29.1,4,12,6,11,1,2,0,12.55,0.5,1.23,29.76,Moderately Stressed
2024-10-30 12:00:00,13.09,29.26,434.0,1.4,39.2,4.28,28.9,3,10,5,12,1,2,0,12.6,0.5,1.15,29.76,Moderately Stressed
2024-10-30 12:15:00,13.09,29.26,434.0,1.6,40.1,4.3,29.0,4,11,5,12,1,2,0,12.65,0.5,1.15,29.76,Moderately Stressed
2024-10-30 12:30:00,11.59,29.95,437.0,1.4,52.4,4.15,30.1,4,12,6,12,1,2,0,12.56,0.56,-1.28,29.95,Severely Stressed
2024-10-30 12:45:00,11.62,31.04,437.0,1.4,52.4,4.15,30.1,4,12,6,12,1,2,0,12.44,0.6,-1.49,31.04,Severely Stressed
2024-10-30 13:00:00,11.65,31.46,435.0,1.1,46.1,4.09,30.8,4,12,6,13,1,2,0,12.34,0.63,-1.44,31.46,Severely Stressed
2024-10-30 13:15:00,11.65,31.46,435.0,1.0,46.2,4.03,31.2,4,12,6,13,1,2,0,12.25,0.64,-1.44,31.46,Severely Stressed
2024-10-30 13:30:00,12.39,31.47,433.0,1.2,44.5,4.03,31.2,3,10,5,13,1,2,0,12.24,0.63,0.8,31.47,Severely Stressed
2024-10-30 13:45:00,10.84,31.8,434.0,1.2,44.5,4.03,31.2,4,12,6,13,1,2,0,12.15,0.75,-0.78,31.8,Severely Stressed
2024-10-30 14:00:00,10.7,32.58,432.0,1.1,50.3,3.99,31.6,4,12,6,14,1,2,0,12.04,0.86,-0.95,32.58,Severely Stressed
2024-10-30 14:15:00,10.7,32.58,432.0,1.0,50.7,3.94,32.1,4,12,6,14,1,2,0,11.94,0.94,-0.95,32.58,Severely Stressed
2024-10-30 14:30:00,10.93,32.93,430.0,0.8,46.7,3.93,32.2,4,12,6,14,1,2,0,11.78,0.93,-1.46,32.93,Severely Stressed
2024-10-30 14:45:00,10.93,32.93,430.0,0.8,46.7,3.93,32.2,4,12,6,14,1,2,0,11.6,0.86,0.09,32.93,Severely Stressed
2024-10-30 15:00:00,15.7,32.48,391.0,0.7,40.1,4.77,31.3,4,12,6,15,1,2,0,11.82,1.42,5.0,32.93,Moderately Stressed
2024-10-30 15:15:00,15.7,32.48,391.0,0.9,37.9,4.93,30.9,8,24,12,15,1,2,0,12.03,1.79,5.0,32.93,Moderately Stressed
2024-10-30 15:30:00,15.7,32.48,391.0,1.0,36.9,5.02,30.7,8,25,12,15,1,2,0,12.38,2.07,4.77,32.93,Moderately Stressed
2024-10-30 15:45:00,15.95,31.43,390.0,1.0,36.9,5.02,30.7,6,18,9,15,1,2,0,12.74,2.29,5.02,32.93,Moderately Stressed
2024-10-30 16:00:00,15.95,31.43,390.0,1.0,34.9,5.09,30.4,5,16,8,16,1,2,0,13.1,2.43,0.25,32.93,Moderately Stressed
2024-10-30 16:15:00,15.95,31.43,390.0,1.1,32.6,5.16,30.0,4,12,6,16,1,2,0,13.45,2.52,0.25,32.93,Moderately Stressed
2024-10-30 16:30:00,16.04,30.92,384.0,1.3,27.3,5.24,29.5,4,11,5,16,1,2,0,13.76,2.6,0.34,32.93,Moderately Stressed
2024-10-30 16:45:00,16.09,30.3,380.0,1.3,27.3,5.24,29.5,4,13,6,16,1,2,0,14.19,2.5,0.14,32.93,Moderately Stressed
2024-10-30 17:00:00,16.09,30.3,380.0,1.7,25.5,5.3,29.0,4,13,6,17,1,2,0,14.64,2.29,0.14,32.93,Moderately Stressed
2024-10-30 17:15:00,16.09,30.3,380.0,2.0,24.4,5.36,28.6,4,12,6,17,1,2,0,15.09,1.95,0.14,32.93,Moderately Stressed
